name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
noname_bn_scale131,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_5_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_5_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
block5_5_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale135,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
noname_add136,None," [1, 128, 14, 14] [1, 128, 14, 14]","[1, 128, 14, 14]",0,25088,0,25088,0,25088
block5_6_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 14, 14]","[1, 512, 14, 14]",12845056,12845056,0,25690112,65536,100352
block5_6_conv_1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale139,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_6_conv_2,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_6_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=512,group_size=512","[1, 512, 14, 14]","[1, 512, 14, 14]",903168.0,903168.0,0,1806336.0,4608.0,100352
block5_6_conv_4,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale143,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_6_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_6_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
block5_6_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale147,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
noname_add148,None," [1, 128, 14, 14] [1, 128, 14, 14]","[1, 128, 14, 14]",0,25088,0,25088,0,25088
conv6_1_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 128, 14, 14]","[1, 256, 14, 14]",6422528,6422528,0,12845056,32768,50176
conv6_1_conv_1,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
noname_bn_scale151,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,0,50176,0,50176
conv6_1_conv_2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
conv6_1_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=256,group_size=256","[1, 256, 14, 14]","[1, 256, 14, 14]",451584.0,451584.0,0,903168.0,2304.0,50176
conv6_1_conv_4,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
noname_bn_scale155,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,0,50176,0,50176
conv6_1_conv_5,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
conv6_1_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=16","[1, 256, 14, 14]","[1, 16, 14, 14]",802816,802816,0,1605632,4096,3136
